dt;zid;customers_cnt_home;customers_cnt_job;customers_cnt_day;customers_cnt_move
2018.02.28;1;100;42;71;39
2018.02.28;2;92;74;33;15
2018.02.28;3;62;10;41;43
2018.02.28;4;76;42;99;14
2018.02.28;5;14;43;51;92
2018.02.28;6;24;66;24;32
2018.02.28;7;96;25;28;33
2018.02.28;8;33;44;79;53
2018.02.28;9;31;89;67;63
2018.02.28;10;74;35;99;21
2018.02.28;11;56;26;38;90
2018.02.28;12;97;61;88;97
2018.02.28;13;57;31;24;25
2018.02.28;14;26;83;45;23
2018.02.28;15;48;64;45;90
2018.02.28;16;30;87;64;39
2018.02.28;17;43;37;33;72
2018.02.28;18;67;44;39;89
2018.02.28;19;49;99;67;35
2018.02.28;20;15;27;69;91
2018.02.28;21;73;80;6;97
2018.02.28;22;42;49;58;62
2018.02.28;23;41;91;39;36
2018.02.28;24;18;91;54;89
2018.02.28;25;15;32;84;84
2018.02.28;26;30;5;81;20
2018.02.28;27;93;34;96;46
2018.02.28;28;40;43;14;82
2018.02.28;29;83;76;37;98
2018.02.28;30;52;74;24;69
2018.02.28;31;100;13;50;24
2018.02.28;32;80;34;28;67
2018.02.28;33;89;80;43;46
2018.02.28;34;86;5;9;19
2018.02.28;35;62;37;23;95
2018.02.28;36;20;88;78;91
2018.02.28;37;45;64;20;79
2018.02.28;38;35;38;6;93
2018.02.28;39;80;98;81;62
2018.02.28;40;39;24;36;26
2018.02.28;41;5;63;5;46
2018.02.28;42;46;0;22;31
2018.02.28;43;36;41;43;45
2018.02.28;44;25;52;91;68
2018.02.28;45;73;36;69;58
2018.02.28;46;83;14;37;70
2018.02.28;47;69;6;50;94
2018.02.28;48;52;26;80;20
2018.02.28;49;55;70;74;90
2018.02.28;50;98;93;11;39
2018.02.28;51;60;62;69;37
2018.02.28;52;34;65;86;90
2018.02.28;53;57;96;100;94
2018.02.28;54;95;30;86;28
2018.02.28;55;11;29;17;75
2018.02.28;56;58;57;75;8
2018.02.28;57;36;96;55;6
2018.02.28;58;45;39;97;36
2018.02.28;59;9;88;76;27
2018.02.28;60;30;64;45;77
2018.02.28;61;9;85;28;45
2018.02.28;62;54;4;59;17
2018.02.28;63;29;8;73;12
2018.02.28;64;27;5;66;99
2018.02.28;65;68;8;5;89
2018.02.28;66;96;75;59;15
2018.02.28;67;17;0;36;4
2018.02.28;68;1;26;28;39
2018.02.28;69;63;88;62;95
2018.02.28;70;34;1;89;9
2018.02.28;71;10;26;2;34
2018.02.28;72;93;39;49;6
2018.02.28;73;71;69;14;32
2018.02.28;74;5;71;58;38
2018.02.28;75;10;75;9;80
2018.02.28;76;10;18;15;22
2018.02.28;77;5;18;32;40
2018.02.28;78;21;64;28;44
2018.02.28;79;77;40;34;55
2018.02.28;80;78;80;33;31
2018.02.28;81;96;68;80;29
2018.02.28;82;91;1;52;17
2018.02.28;83;5;64;90;49
2018.02.28;84;72;52;25;94
2018.02.28;85;27;77;12;20
2018.02.28;86;87;9;75;58
2018.02.28;87;56;29;71;16
2018.02.28;88;67;1;45;57
2018.02.28;89;55;31;46;33
2018.02.28;90;18;78;77;94
2018.02.28;91;100;98;51;13
2018.02.28;92;30;2;28;28
2018.02.28;93;15;57;64;44
2018.02.28;94;82;52;17;2
2018.02.28;95;15;84;91;38
2018.02.28;96;73;10;45;35
2018.02.28;97;62;85;26;6
2018.02.28;98;54;52;49;63
2018.02.28;99;98;78;88;71
2018.02.28;100;79;70;7;32
2018.02.28;101;10;71;85;37
2018.02.28;102;73;11;7;29
2018.02.28;103;42;79;87;65
2018.02.28;104;19;31;0;34
2018.02.28;105;31;82;100;31
2018.02.28;106;59;43;37;79
2018.02.28;107;74;56;57;75
2018.02.28;108;15;5;54;100
2018.02.28;109;14;20;18;56
2018.02.28;110;65;78;91;51
2018.02.28;111;12;8;46;67
2018.02.28;112;20;97;57;19
2018.02.28;113;6;73;13;97
2018.02.28;114;10;67;91;76
2018.02.28;115;25;10;46;76
